% Model:              Fabryczne_2_promien_0m52_otwory_out01.mph
% Version:            COMSOL 5.3.0.260
% Date:               Feb 20 2019, 17:34
% Dimension:          1
% Nodes:              39
% Expressions:        1
% Description:        Octave band
% X                       Height
40                        71.1734684154161
45                        74.46302911753611
50                        76.9772572997849
56                        79.04986517744591
63                        80.55445270165778
71                        81.6833837559747
80                        82.73570257168353
90                        83.92805928685023
100                       85.21836883590497
112                       86.82156530692498
125                       88.3426036521796
140                       89.2842748931524
160                       89.04317943037344
180                       88.1893702697648
200                       87.49289193381318
224                       87.04683069224707
250                       86.95486792644095
280                       87.20657227283101
315                       87.86544899743066
355                       89.04977732781036
400                       90.8957658390564
450                       93.10282755509502
500                       97.9632765322939
560                       97.58102610835957
630                       83.87003937996666
710                       62.20210881849916
800                       89.45779399419116
900                       86.64648747883582
1000                      84.98454494251818
1120                      85.57618902774573
1250                      83.20021195498623
1400                      92.36443386392502
1600                      82.05514852487617
1800                      77.76502815895104
2000                      69.71917734538208
2240                      71.9022686812214
2500                      68.75759992194833
2800                      73.87166489844671
3150                      64.93202441508646
